code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2008,160,3.104302102,5,3.96,5,2.5,3,2.482,3,1.237,1,5,5,5,5,1.5,4,3,3,4.25,5,5,5,1.043,2,4.072,5,2.368,5,3.994,5,5,5,1.245,2,4.2,5,1.038494315,2,1,1,5,5,4,5,1,1,1,1,2.593616644,5,3.372441176,5,3.152660225,5
AGO,Angola,2008,90,1.990949985,3,3.521,5,2.5,3,2.59,3,1.364,1,3,2,2,2,2.25,5,2.5,3,3.25,4,3,3,1.094,3,1,1,1.316,5,1,1,2.199,4,2.006,5,1.539251092,2,1.326101839,4,1,1,1.293,5,3,4,1.2,4,1,1,1.744400453,2,2.395205882,3,1.65478905,4
ALB,Albania,2008,52,1.790607698,2,2.605,3,2.701,4,2.748,3,2.139,4,4,3,1,1,1,1,3,3,2.75,3,2.5,2,1.064,3,1.004,2,1,1,1,1,1.956,4,1.529,3,1.5447221,2,1.002419643,1,1,1,1.17,5,2,2,1.5,5,1,1,1.776159008,2,2.235735294,3,1.247181965,2
ARE,United Arab Emirates,2008,34,1.651118279,2,1.244,1,3.25,4,1.39,1,2.812,4,2,1,1,1,1.25,3,2,1,2.625,3,2,2,5,5,1,1,1,1,1,1,2.343,5,2.623,5,1.796143725,2,1.52313774,4,1.202,4,1.002,2,1,1,1,1,1,1,2.217629451,4,1.874588235,2,1,1
ARG,Argentina,2008,61,1.820330838,2,3.639,5,4.436,5,2.913,3,2.202,4,2,1,1,1,1,1,3,3,2.25,2,2,2,1.074,3,1.0576,2,1,1,1,1,1.416,2,1.288,2,1.47231193,2,1.422612586,4,1.001,4,1.001,1,3,4,1,1,1,1,1.398321272,1,2.370652941,3,1.40257649,2
ARM,Armenia,2008,114,2.120155631,3,2.123,2,2.5,3,1.975,2,1.752,3,4,3,2,2,1,1,3,3,3.75,5,2,2,1.54,4,1.1844,3,1.053,3,1,1,2.682,5,3.312,5,2.329010381,3,1.090406648,3,1.036,4,1.169,5,5,5,1.25,4,1,1,2.241484747,5,2.1197,2,2.034850242,5
AUS,Australia,2008,13,1.395372134,1,2.579,3,2.12,2,1.64,1,1.997,3,1,1,1,1,1,1,2,1,1,1,1,1,3.134,5,1.0308,2,1,1,1,1,1.927,4,1.39,3,1.214668396,1,1.371360155,4,1.232,4,1,1,1,1,2.525,5,1,1,1.537730427,1,1.520870588,1,1.139975845,1
AUT,Austria,2008,4,1.32816841,1,1.984,1,2.642,4,1.325,1,1.846,3,2,1,1,1,1,1,1,1,1,1,2,2,1.668,5,1.222,3,1,1,1,1,1.33,1,1.735,4,1.121711474,1,1.195056193,3,1.559,5,1,1,1,1,1.125,4,1,1,1.527740678,1,1.475294118,1,1.01147343,1
AZE,Azerbaijan,2008,123,2.163681995,3,1.87,1,1.687,1,2.14,2,2.812,4,4,3,2,2,1.25,3,2,1,3.5,5,2,2,1.685,5,1.1844,3,1.105,4,1,1,2.548,5,2.198,5,1.240603773,1,1.216008099,4,1,1,3.607,5,5,5,1.5,5,1,1,1.999484226,3,2.300405882,3,2.0631562,5
BDI,Burundi,2008,136,2.335934515,3,2.818,3,2.289,2,2.852,3,1.704,2,4,3,4,5,1.5,4,3,3,3,4,4,5,1,1,2.4832,4,2.158,5,2.108,5,2.314,5,1.346,2,1.051913654,1,1.013582994,1,1,1,2.558,5,3,4,1,1,1,1,1.73321037,2,2.692335294,4,2.348811594,5
