code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2013,3,8.59,6,259,6,923,6,1232,6,42,5
AGO,Angola,2013,82,0.632,2,0,1,0,1,0,1,0,1
ALB,Albania,2013,101,0.114,2,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2013,111,0,1,0,1,0,1,0,1,0,1
ARG,Argentina,2013,66,1.39,2,2,2,0,1,0,1,0,1
ARM,Armenia,2013,111,0,1,0,1,0,1,0,1,0,1
AUS,Australia,2013,111,0,1,0,1,0,1,0,1,0,1
AUT,Austria,2013,91,0.299,2,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2013,83,0.582,2,0,1,0,1,0,1,0,1
BDI,Burundi,2013,40,3.03,3,0,1,0,1,0,1,0,1
BEL,Belgium,2013,99,0.123,2,0,1,0,1,0,1,0,1
BEN,Benin,2013,111,0,1,0,1,0,1,0,1,0,1
BFA,Burkina Faso,2013,111,0,1,0,1,0,1,0,1,0,1
BGD,Bangladesh,2013,34,3.463,3,14,3,3,2,19,3,0,1
BGR,Bulgaria,2013,50,2.513,3,0,1,0,1,0,1,0,1
BHR,Bahrain,2013,35,3.435,3,20,3,2,2,34,4,0,1
BIH,Bosnia and Herzegovina,2013,76,0.782,2,1,2,0,1,0,1,0,1
BLR,Belarus,2013,44,2.829,3,0,1,0,1,0,1,0,1
BOL,Bolivia,2013,97,0.128,2,0,1,0,1,0,1,0,1
BRA,Brazil,2013,101,0.114,2,0,1,0,1,0,1,0,1
BTN,Bhutan,2013,106,0.059,2,0,1,0,1,0,1,0,1
BWA,Botswana,2013,111,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2013,51,2.366,3,0,1,0,1,0,1,0,1
CAN,Canada,2013,104,0.087,2,0,1,0,1,0,1,0,1
CHE,Switzerland,2013,90,0.333,2,0,1,0,1,0,1,0,1
CHL,Chile,2013,56,2.043,3,3,2,2,2,0,1,0,1
CHN,China,2013,27,3.999,3,4,2,8,3,49,4,0,1
CIV,Cote d' Ivoire,2013,42,2.864,3,2,2,2,2,4,2,0,1
CMR,Cameroon,2013,58,1.881,2,1,2,0,1,0,1,7,3
COD,Democratic Republic of the Congo,2013,20,4.866,4,2,2,40,4,0,1,0,1
COG,Republic of the Congo,2013,104,0.087,2,0,1,0,1,0,1,0,1
COL,Colombia,2013,10,6.776,5,217,6,140,6,291,6,19,4
CRI,Costa Rica,2013,111,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2013,111,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2013,99,0.123,2,0,1,0,1,0,1,0,1
CZE,Czechia,2013,111,0,1,0,1,0,1,0,1,0,1
DEU,Germany,2013,63,1.463,2,0,1,0,1,0,1,0,1
DJI,Djibouti,2013,111,0,1,0,1,0,1,0,1,0,1
DNK,Denmark,2013,101,0.114,2,0,1,0,1,0,1,0,1
DOM,Dominican Republic,2013,111,0,1,0,1,0,1,0,1,0,1
DZA,Algeria,2013,16,5.716,4,13,3,46,4,26,4,107,6
ECU,Ecuador,2013,89,0.443,2,1,2,0,1,0,1,0,1
EGY,Egypt,2013,15,6.098,5,91,5,132,6,376,6,4,3
ERI,Eritrea,2013,69,1.305,2,0,1,0,1,0,1,0,1
ESP,Spain,2013,71,1.184,2,0,1,0,1,0,1,0,1
EST,Estonia,2013,87,0.465,2,0,1,0,1,0,1,0,1
ETH,Ethiopia,2013,31,3.553,3,2,2,4,2,0,1,0,1
FIN,Finland,2013,111,0,1,0,1,0,1,0,1,0,1
FRA,France,2013,46,2.663,3,1,2,0,1,1,2,0,1
GAB,Gabon,2013,111,0,1,0,1,0,1,0,1,0,1
GBR,United Kingdom,2013,32,3.539,3,29,4,1,2,1,2,0,1
GEO,Georgia,2013,47,2.629,3,1,2,1,2,1,2,0,1
GHA,Ghana,2013,111,0,1,0,1,0,1,0,1,0,1
GIN,Guinea,2013,111,0,1,0,1,0,1,0,1,0,1
GMB,The Gambia,2013,111,0,1,0,1,0,1,0,1,0,1
GNB,Guinea-Bissau,2013,79,0.72,2,0,1,0,1,0,1,0,1
GNQ,Equatorial Guinea,2013,111,0,1,0,1,0,1,0,1,0,1
GRC,Greece,2013,41,3.002,3,13,3,2,2,3,2,0,1
GTM,Guatemala,2013,55,2.11,3,0,1,0,1,0,1,0,1
GUY,Guyana,2013,111,0,1,0,1,0,1,0,1,0,1
HND,Honduras,2013,78,0.768,2,0,1,0,1,0,1,0,1
HRV,Croatia,2013,83,0.582,2,1,2,0,1,1,2,0,1
HTI,Haiti,2013,111,0,1,0,1,0,1,0,1,0,1
HUN,Hungary,2013,110,0.03,2,0,1,0,1,0,1,0,1
IDN,Indonesia,2013,24,4.154,4,10,3,13,3,4,2,0,1
IND,India,2013,8,7.142,5,199,6,241,6,294,6,37,5
IRL,Ireland,2013,74,0.865,2,1,2,0,1,0,1,0,1
IRN,Iran,2013,21,4.551,4,7,3,21,4,0,1,0,1
IRQ,Iraq,2013,1,9.689,6,1673,6,3980,6,9479,6,41,5
ISL,Iceland,2013,111,0,1,0,1,0,1,0,1,0,1
ISR,Israel,2013,22,4.376,4,33,4,1,2,1,2,0,1
ITA,Italy,2013,62,1.469,2,0,1,0,1,0,1,0,1
JAM,Jamaica,2013,111,0,1,0,1,0,1,0,1,0,1
JOR,Jordan,2013,75,0.858,2,0,1,0,1,0,1,0,1
JPN,Japan,2013,111,0,1,0,1,0,1,0,1,0,1
KAZ,Kazakhstan,2013,53,2.196,3,0,1,0,1,0,1,0,1
KEN,Kenya,2013,14,6.302,5,41,4,151,6,272,6,0,1
KGZ,Kyrgyz Republic,2013,59,1.87,2,2,2,2,2,2,2,0,1
KHM,Cambodia,2013,85,0.524,2,0,1,0,1,0,1,0,1
KOR,South Korea,2013,111,0,1,0,1,0,1,0,1,0,1
KWT,Kuwait,2013,93,0.257,2,0,1,0,1,0,1,0,1
LAO,Laos,2013,111,0,1,0,1,0,1,0,1,0,1
LBN,Lebanon,2013,17,5.42,4,34,4,56,5,294,6,13,4
LBR,Liberia,2013,111,0,1,0,1,0,1,0,1,0,1
LBY,Libya,2013,18,5.39,4,90,5,55,5,104,6,13,4
LKA,Sri Lanka,2013,39,3.036,3,0,1,0,1,0,1,0,1
LSO,Lesotho,2013,111,0,1,0,1,0,1,0,1,0,1
LTU,Lithuania,2013,111,0,1,0,1,0,1,0,1,0,1
LVA,Latvia,2013,111,0,1,0,1,0,1,0,1,0,1
MAR,Morocco,2013,52,2.271,3,0,1,0,1,0,1,0,1
MDA,Moldova,2013,86,0.493,2,0,1,0,1,0,1,0,1
MDG,Madagascar,2013,68,1.321,2,3,2,0,1,0,1,0,1
MEX,Mexico,2013,67,1.364,2,1,2,0,1,0,1,0,1
MKD,North Macedonia,2013,111,0,1,0,1,0,1,0,1,0,1
MLI,Mali,2013,19,5.055,4,33,4,45,4,53,5,2,2
MMR,Myanmar,2013,23,4.245,4,9,3,6,3,11,3,0,1
MNE,Montenegro,2013,106,0.059,2,0,1,0,1,0,1,0,1
MNG,Mongolia,2013,111,0,1,0,1,0,1,0,1,0,1
MOZ,Mozambique,2013,60,1.847,2,2,2,1,2,10,3,0,1
MRT,Mauritania,2013,65,1.432,2,0,1,0,1,0,1,0,1
MUS,Mauritius,2013,111,0,1,0,1,0,1,0,1,0,1
MWI,Malawi,2013,111,0,1,0,1,0,1,0,1,0,1
MYS,Malaysia,2013,72,0.897,2,1,2,0,1,0,1,0,1
NAM,Namibia,2013,111,0,1,0,1,0,1,0,1,0,1
NER,Niger,2013,45,2.689,3,3,2,3,2,16,3,0,1
NGA,Nigeria,2013,5,7.897,5,107,6,931,6,146,6,13,4
NIC,Nicaragua,2013,94,0.167,2,0,1,0,1,0,1,0,1
NLD,Netherlands,2013,111,0,1,0,1,0,1,0,1,0,1
NOR,Norway,2013,28,3.992,3,0,1,0,1,0,1,0,1
NPL,Nepal,2013,33,3.526,3,7,3,0,1,9,3,0,1
NZL,New Zealand,2013,111,0,1,0,1,0,1,0,1,0,1
OMN,Oman,2013,106,0.059,2,0,1,0,1,0,1,0,1
PAK,Pakistan,2013,2,8.877,6,518,6,1503,6,3421,6,81,6
PAN,Panama,2013,94,0.167,2,0,1,0,1,0,1,0,1
PER,Peru,2013,30,3.69,3,9,3,4,2,6,3,18,4
PHL,Philippines,2013,12,6.564,5,71,5,108,6,211,6,305,6
PNG,Papua New Guinea,2013,111,0,1,0,1,0,1,0,1,0,1
POL,Poland,2013,111,0,1,0,1,0,1,0,1,0,1
PRK,North Korea,2013,111,0,1,0,1,0,1,0,1,0,1
PRT,Portugal,2013,111,0,1,0,1,0,1,0,1,0,1
PRY,Paraguay,2013,38,3.335,3,11,3,9,3,14,3,5,3
PSE,Palestine,2013,36,3.389,3,9,3,3,2,11,3,0,1
QAT,Qatar,2013,111,0,1,0,1,0,1,0,1,0,1
ROU,Romania,2013,111,0,1,0,1,0,1,0,1,0,1
RUS,Russia,2013,11,6.763,5,141,6,132,6,299,6,0,1
RWA,Rwanda,2013,37,3.369,3,3,2,4,2,54,5,0,1
SAU,Saudi Arabia,2013,61,1.809,2,0,1,0,1,0,1,0,1
SDN,Sudan,2013,26,4.07,4,4,2,12,3,19,3,0,1
SEN,Senegal,2013,81,0.648,2,0,1,0,1,0,1,0,1
SGP,Singapore,2013,111,0,1,0,1,0,1,0,1,0,1
SLE,Sierra Leone,2013,76,0.782,2,0,1,0,1,0,1,0,1
SLV,El Salvador,2013,73,0.876,2,0,1,0,1,0,1,0,1
SOM,Somalia,2013,7,7.287,5,152,6,264,6,366,6,6,3
SRB,Serbia,2013,70,1.198,2,1,2,0,1,2,2,0,1
SSD,South Sudan,2013,48,2.607,3,2,2,6,3,7,3,0,1
SVK,Slovakia,2013,106,0.059,2,0,1,0,1,0,1,0,1
SVN,Slovenia,2013,111,0,1,0,1,0,1,0,1,0,1
SWE,Sweden,2013,92,0.265,2,0,1,0,1,0,1,0,1
SWZ,Eswatini,2013,111,0,1,0,1,0,1,0,1,0,1
SYR,Syria,2013,4,8.027,6,80,5,907,6,1012,6,4,3
TCD,Chad,2013,94,0.167,2,0,1,0,1,0,1,0,1
TGO,Togo,2013,111,0,1,0,1,0,1,0,1,0,1
THA,Thailand,2013,9,6.88,5,196,6,154,6,413,6,0,1
TJK,Tajikistan,2013,49,2.524,3,1,2,0,1,0,1,0,1
TKM,Turkmenistan,2013,111,0,1,0,1,0,1,0,1,0,1
TLS,Timor-Leste,2013,111,0,1,0,1,0,1,0,1,0,1
TTO,Trinidad and Tobago,2013,111,0,1,0,1,0,1,0,1,0,1
TUN,Tunisia,2013,29,3.924,3,14,3,22,4,9,3,0,1
TUR,Turkiye,2013,13,6.353,5,13,3,56,5,140,6,4,3
TWN,Taiwan,2013,111,0,1,0,1,0,1,0,1,0,1
TZA,Tanzania,2013,79,0.72,2,2,2,0,1,0,1,0,1
UGA,Uganda,2013,43,2.853,3,0,1,0,1,0,1,0,1
UKR,Ukraine,2013,54,2.146,3,2,2,0,1,0,1,0,1
URY,Uruguay,2013,97,0.128,2,0,1,0,1,0,1,0,1
USA,United States of America,2013,25,4.082,4,3,2,4,2,141,6,0,1
UZB,Uzbekistan,2013,88,0.452,2,0,1,0,1,0,1,0,1
VEN,Venezuela,2013,64,1.456,2,1,2,1,2,0,1,0,1
VNM,Vietnam,2013,111,0,1,0,1,0,1,0,1,0,1
XKO,Kosovo,2013,57,1.933,2,4,2,0,1,2,2,0,1
YEM,Yemen,2013,6,7.485,5,201,6,316,6,444,6,13,4
ZAF,South Africa,2013,111,0,1,0,1,0,1,0,1,0,1
ZMB,Zambia,2013,111,0,1,0,1,0,1,0,1,0,1
ZWE,Zimbabwe,2013,111,0,1,0,1,0,1,0,1,0,1
