Country,Visa Openness,Environmental Score,Sanitation,World Heritage Sites,Amusement Parks,Cuisine,Michelin Stars,Ecosystem Vitality,Biodiversity & Habitat,Environmental Health,Air Quality,Recycling,Ocean Plastics,Climate Change Policy,Senior Population,Terrorism,Safety
Afghanistan,0.0,0.4186440677966102,0.2745694022289767,0.017241379310344827,,,,36.9,30.7,16.0,15.5,11.1,,65.6,0.0328324879359807,0.08703768521759414,3.448481965
Albania,0.7472619171795138,0.4779661016949152,0.590678824721378,0.05172413793103448,,0.09090909090909083,,45.5,63.9,40.0,37.5,20.5,32.1,52.5,0.5555753510541177,1.0,1.744802866
Algeria,0.015333263794722017,0.1813559322033899,0.590678824721378,0.10344827586206895,0.0027247956403269754,0.606060606060606,,31.6,22.7,42.0,39.4,11.0,10.5,20.9,0.17955616140229375,0.7436705168591763,2.093692199
Angola,0.5319703765515802,0.19661016949152538,0.12968591691995945,0.0,,,,28.6,30.1,20.5,23.1,19.0,19.5,37.7,0.04025951478979384,0.7370201843425505,2.020406964
Argentina,0.29540002086158335,0.376271186440678,0.7223910840932117,0.1896551724137931,0.0027247956403269754,0.8686868686868687,,38.9,42.4,56.3,52.0,9.6,17.7,35.5,0.37121758980652625,0.851359234628398,1.836748778
Armenia,0.4215082924793991,0.49830508474576257,0.5005065856129687,0.034482758620689655,0.0,0.31313131313131304,,58.1,73.3,40.7,32.1,13.5,,41.4,0.42338525638375557,0.9506475323766188,1.928556897
Australia,0.5206008136017523,0.6983050847457626,0.9584599797365756,0.32758620689655177,0.13351498637602177,0.505050505050505,,62.3,82.1,86.4,91.1,52.9,33.1,43.8,0.5505545736788819,0.8279080620697701,1.524652199
Austria,0.24595806821737765,0.8067796610169489,0.8652482269503547,0.1896551724137931,0.02997275204359673,0.6464646464646464,16.0,73.9,86.0,81.7,75.0,36.0,,50.3,0.6568379686990866,0.8888111072220277,1.315767328
Azerbaijan,0.4772087201418587,0.3338983050847458,0.43566362715298884,0.06896551724137931,0.0,0.23232323232323226,,44.4,46.2,30.7,22.1,14.4,,36.4,0.20677703473406872,1.0,2.09047464
Bahrain,0.6083237717742775,0.39152542372881355,0.6605876393110436,0.034482758620689655,0.0,,,42.3,15.3,45.3,34.7,14.1,54.8,39.9,0.08252368099640042,0.9856492824641232,2.145058642
Bangladesh,0.29414832585793255,0.07118644067796615,0.270516717325228,0.034482758620689655,0.00544959128065395,0.11111111111111094,,29.4,37.4,18.1,14.4,15.7,14.6,18.8,0.1673070826744612,0.6129973165324932,2.050782757
Barbados,0.9915510587253572,0.5813559322033899,0.5775075987841946,0.0,,0.13131313131313116,,24.9,13.6,61.8,65.3,10.6,62.4,79.9,0.5424774431308421,,-1.0
Belarus,0.46437884635443827,0.5016949152542372,0.596757852077001,0.05172413793103448,0.00544959128065395,0.2929292929292928,,55.4,66.9,51.1,46.1,19.0,,39.6,0.5688778766543319,1.0,2.248498917
Belgium,0.245645144466465,0.6661016949152543,0.944275582573455,0.25862068965517243,0.0326975476839237,0.6666666666666666,138.0,57.9,82.4,77.9,74.6,31.7,43.6,48.1,0.6494271508241081,0.7778555594446389,1.522896897
Benin,0.7136747679148847,0.1813559322033899,0.12158054711246201,0.034482758620689655,,,,36.2,63.6,22.2,22.3,56.9,36.0,26.2,0.05747484560771274,0.4285380935713452,2.176534912
Bhutan,0.6264733493272139,0.39999999999999997,0.2988855116514691,,,,,54.9,79.6,27.2,19.6,1.7,,36.8,0.1739635536088031,1.0,1.496144697
Bolivia,0.7874204652133096,0.359322033898305,0.41742654508611954,0.10344827586206895,,0.404040404040404,,52.9,82.6,35.8,30.0,34.4,,28.3,0.1236816131154666,1.0,2.001078251
Bosnia And Herzegovina,0.46865547095024507,0.347457627118644,0.673758865248227,0.05172413793103448,,,,34.8,34.1,38.0,27.8,23.8,,45.1,0.6188265025406618,1.0,1.891770371
Botswana,0.3118806717429852,0.594915254237288,0.20871327254305977,0.017241379310344827,0.0,,,61.4,89.3,21.3,17.1,21.0,,63.1,0.07858815952698245,1.0,1.761634154
Brazil,0.34202565974757476,0.4186440677966102,0.4701114488348531,0.37931034482758624,0.035422343324250684,0.8888888888888888,13.0,55.2,78.2,46.0,44.9,2.8,5.8,29.6,0.30915219138376493,0.7680550694201377,2.462466339
Bulgaria,0.24616668405131947,0.5593220338983049,0.8378926038500507,0.15517241379310345,,0.7070707070707071,,58.0,75.1,43.2,28.6,29.8,37.6,49.8,0.764674569748806,1.0,1.642679952
Burkina Faso,0.5421925524147282,0.2813559322033898,0.06484295845997974,0.034482758620689655,,,,49.6,78.5,20.9,26.1,23.0,,27.6,0.03826348283373876,0.0,2.867634501
Burundi,0.7407948263273181,0.19661016949152538,0.04154002026342453,,,,,35.5,42.3,22.0,30.7,7.1,,29.4,0.036030882588484914,0.7160191342900477,2.393221888
Cabo Verde,0.7758422864295399,0.3898305084745762,0.3627152988855117,0.0,,,,37.9,12.1,32.6,28.0,17.4,61.7,51.4,0.14386449683911778,,-1.0
Cambodia,0.7542505476165641,0.18983050847457633,0.34954407294832823,0.05172413793103448,,,,37.5,65.8,27.6,25.9,12.4,34.8,23.3,0.15913618534399235,1.0,1.947439268
Cameroon,0.03859392927923229,0.1915254237288136,0.07092198581560284,0.017241379310344827,,,,33.0,42.0,14.3,13.2,4.6,32.5,35.4,0.04244937914260788,0.18562594796406473,2.660470451
Canada,0.10837592573276311,0.5271186440677966,0.8368794326241136,0.3620689655172414,0.08719346049046321,0.5757575757575757,21.0,52.5,62.9,85.9,88.0,23.1,30.2,28.2,0.6283952181234629,0.7954731069886828,1.34967994
Central African Republic,0.06143736309585896,0.4406779661016948,,0.017241379310344827,,,,55.9,80.2,13.1,19.0,9.1,,49.5,0.037301677146473144,0.8314082370785205,2.934421576
Chad,0.05601335141337227,0.15593220338983055,,0.017241379310344827,,,,42.3,62.4,16.7,24.3,11.1,,18.5,0.018401730365384603,0.41815424104538557,2.699343818
Chile,0.6919787211849379,0.47118644067796606,0.6970618034447822,0.10344827586206895,0.0,0.7676767676767677,,51.2,61.3,58.0,48.4,1.0,33.5,35.8,0.4119001177628673,0.3374168708435421,1.873634503
China,0.006675706686137477,0.16101694915254233,0.6048632218844986,0.9655172413793103,0.0653950953678474,0.9595959595959596,122.0,24.5,9.4,32.8,20.6,24.4,0.1,30.4,0.4484152608599172,0.9320966048302415,2.009208747
Colombia,0.6839470115781786,0.3983050847457626,0.6413373860182371,0.13793103448275862,0.016348773841961855,0.7272727272727273,,49.6,77.4,50.3,44.0,28.5,34.4,30.2,0.27567469622917723,0.27803056819507643,2.693054739
Congo,0.02013142797538333,0.359322033898305,0.13779128672745694,0.017241379310344827,,,,45.6,67.5,19.7,16.7,17.2,34.0,44.9,0.04468731266767291,1.0,2.20968648
"Congo, Democratic Republic Of The",0.017002190466256385,0.3050847457627118,0.1276595744680851,0.06896551724137931,,,,46.1,68.6,21.1,25.1,6.4,,35.1,0.05229528249251242,0.23999533309998822,3.213803686
